ANZSCO Code,ANZSCO Title,ANZSCO Description,Softskill1,Softskill2,Softskill3,Softskill4,Softskill5,Techskill1,Techskill2,Techskill3,Technology Tool Example1,Technology Tool Example2,Technology Tool Example3,Course1,Course2,Course3,Course4,Course5,entry_requirements1,entry_requirements2,entry_requirements3,entry_requirements4,entry_requirements5
741111,Storeperson,"Receives, handles and despatches goods in a store or warehouse.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Reading,Enterprise resource planning ERP software,Inventory management software,"Materials requirements planning, logistics and supply chain software",SAP Business Objects,Inventory tracking software,Materials Requirement Planning (MRP) software,Certificate I in Warehousing Operations,Certificate II in Warehousing Operations,Certificate III in Warehousing Operations,,,No minimum education,No minimum education,No minimum education,,
811211,Commercial Cleaner,"Cleans offices, residential complexes, hospitals, schools, industrial work areas, industrial machines, construction sites and other commercial premises using heavy duty cleaning equipment.",Initiative and innovation,Teamwork,Planning and organising,Oral communication,Problem solving,,,,,,,Certificate II in Cleaning Operations,Certificate II in Health Support Services,Certificate III in Health Support Services,Certificate IV in Cleaning Management,Certificate III in Cleaning Operations,No minimum education,No minimum education,No minimum education,No minimum education,No minimum education
811511,Laundry Worker (General),"Sorts, cleans, irons, folds and packages linen, clothing and other garments in a commercial laundry.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Problem solving,Barcode reading technologies,,,Portable barcode scanners,,,Certificate II in Laundry Operations,Certificate III in Laundry Operations,Certificate III in Health Support Services,,,No minimum education,No minimum education,No minimum education,,
811512,Drycleaner,"Cleans clothing, garments, upholstery and other fabrics using drycleaning agents and machines.",Teamwork,Initiative and innovation,Planning and organising,Learning,Reading,Industrial control and automation software,,,Computerised Numerical Control (CNC) machining centres,,,Certificate III in Dry Cleaning Operations,,,,,Certificate II in Dry Cleaning Operations; relevant industry experience,,,,
821111,Builder's Labourer,Performs routine tasks in erecting and repairing structures and facilities on building and construction sites and in factories producing prefabricated building components.,Initiative and innovation,Teamwork,Planning and organising,Oral communication,Problem solving,Technical design and modelling software (2D and 3D),Project management software,,Autodesk AutoCAD,Microsoft SharePoint,,Certificate I in Construction,Certificate II in Construction Pathways,"Certificate II in Building and Construction (Bricklaying, Carpentry, Painting and Decorating, Wall a",Certificate II in Construction,,No minimum education,An apprenticeship contract,No minimum education,No minimum education,
821113,Earthmoving Labourer,"Performs routine tasks in excavating earth, clearing and levelling sites, and digging irrigation channels.",Initiative and innovation,Oral communication,Teamwork,Reading,Problem solving,Radio frequency transmitters or receivers,,,Radio Frequency Identification Device RFID scanners,,,Certificate I in Construction,Certificate II in Civil Construction,Certificate II in Civil Construction,,,No minimum education,No minimum education,No minimum education,,
821114,Plumber's Assistant,"Performs routine tasks in fabricating, laying, installing and maintaining pipes, fixtures, water meters and regulators.",Digital engagement,Oral communication,Planning and organising,Reading,Problem solving,Industrial endoscopes,,,USB inspection camera,,,Certificate II in Plumbing (Pre-apprenticeship),,,,,"Year 10 level reading, writing and maths",,,,
821211,Concreter,"Pours, spreads, smooths and finishes concrete for structures such as floors, stairs, ramps, footpaths and bridges.",Teamwork,Planning and organising,Initiative and innovation,Problem solving,Numeracy,Project management software,Statistical and data analysis software,,Microsoft SharePoint,SAS,,Certificate III in Concreting,,,,,No minimum education,,,,
821611,Railway Track Worker,"Lays and repairs tracks for railways, tramways, quarries and mines, and installs and repairs signals and other equipment.",Planning and organising,Initiative and innovation,Teamwork,Oral communication,Numeracy,GPS and navigation technologies,,,Global Positioning System GPS devices,,,Certificate II in Rail Infrastructure,Certificate III in Rail Infrastructure,,,,No minimum education,Certificate II in Rail Infrastructure (Track Work); or relevant industry experience,,,
821711,Construction Rigger,"Assembles and installs rigging gear, such as cables, ropes, pulleys and winches, to lift, lower, move and position equipment, structural steel and other heavy objects. Registration or licensing may be required.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Problem solving,Technical design and modelling software (2D and 3D),,,Autodesk AutoCAD,,,Certificate III in Rigging,,,,,An apprenticeship contract,,,,
821712,Scaffolder,"Erects and dismantles scaffolding to provide work platforms on building and industrial sites, and for temporary structures such as staging and seating. Registration or licensing may be required.",Initiative and innovation,Planning and organising,Teamwork,Problem solving,Learning,Project management software,Technical design and modelling software (2D and 3D),,Microsoft SharePoint,Autodesk AutoCAD,,Certificate III in Scaffolding,,,,,An apprenticeship contract,,,,
831118,Winery Cellar Hand,Operates machines and performs routine tasks to make and bottle wine.,Teamwork,Planning and organising,Initiative and innovation,Reading,Problem solving,Industrial control and automation software,,,Computerised Numerical Control (CNC) machining centres,,,Certificate II in Wine Industry Operations,Certificate III in Wine Industry Operations,,,,"Many units assume a basic level of mathematics equivalent to a Year 10 standard. If a student does not possess this level of mathematics, the unit Use Numerical Applications in the Workplace should be selected as part of this qualification.","Certificate II in Wine Industry Operations or relevant employment. Many units assume a basic level of mathematics equivalent to a Year 10 standard. If a student does not possess this level of mathematics, then the unit Use Numerical Applications in the Workplace, should be selected as part of this qualification.",,,
831211,Meat Boner and Slicer,"Trims and cuts meat from bones, sides and carcasses.",Teamwork,Initiative and innovation,Planning and organising,Writing,Oral communication,,,,,,,Certificate III in Meat Processing (Boning Room),,,,,Certificate I or II in Meat Processing,,,,
831212,Slaughterer,Slaughters livestock and prepares carcasses for further processing by removing internal organs and hides for consumption.,Initiative and innovation,Teamwork,Planning and organising,Reading,Oral communication,Enterprise resource planning ERP software,Radio frequency transmitters or receivers,,SAP Business Objects,Radio Frequency Identification Device RFID scanners,,Certificate III in Meat Processing (Slaughtering),,,,,Certificate I or II in Meat Processing,,,,
831311,Meat Process Worker,Processes carcasses of slaughtered livestock and prepares meat and meat products.,Initiative and innovation,Teamwork,Planning and organising,Oral communication,Problem solving,,,,,,,Certificate I in Meat Processing (Smallgoods),Certificate II in Meat Processing (Food Services),Certificate II in Meat Processing (Abattoirs),Certificate II in Meat Processing (Smallgoods),Certificate III in Meat Processing (General),No minimum education,No minimum education,No minimum education,Certificate I in Meat Processing (Smallgoods),Certificate I or II in Meat Processing
832211,Product Assembler,"Puts together components and subassemblies that go into the production of metal products, electrical and electronic equipment, jewellery and precious metal articles, and joinery products.",Planning and organising,Initiative and innovation,Teamwork,Problem solving,Learning,Enterprise resource planning ERP software,Industrial control and automation software,Industrial control and automation software,SAP Business Objects,Computerised Numerical Control (CNC) machining centres,Computerised Numerical Control (CNC) machining centres,Certificate II in Furniture Making,,,,,No minimum education,,,,
839412,Sawmill or Timber Yard Worker,"Performs routine tasks in a sawmill or timber yard such as sorting and stacking timber, assisting timber machinists, assembling orders and racking offcuts.",Teamwork,Oral communication,Planning and organising,Initiative and innovation,Learning,Business intelligence and decision support software,Enterprise resource planning ERP software,Industrial control and automation software,SAP Business Objects,SAP Business Objects,Computerised Numerical Control (CNC) machining centres,Certificate II in Sawmilling and Processing,,,,,No minimum education. Entry may be gained through progression from a lower level qualification or recognition of existing industry experience.,,,,
839413,Wood and Wood Products Factory Worker,"Performs routine tasks in a wood processing and timber product factory such as placing logs on equipment and conveyors, assisting with measuring and cutting of materials, and setting up and operating plant equipment.",Teamwork,Numeracy,Planning and organising,Oral communication,Initiative and innovation,Business intelligence and decision support software,Industrial control and automation software,,SAP Business Objects,Computerised Numerical Control (CNC) machining centres,,Certificate II in Timber Manufactured Products,Certificate II in Timber Truss and Frame Design and Manufacture,Certificate III in Timber Manufactured Products,Certificate II in Wood Panel Products,,No minimum education,No minimum education,No minimum education. Entry may be gained through progression from a lower level qualification or recognition of existing industry experience.,Certificate I in Wood Panel Products; or relevant vocational experience,
839912,Chemical Plant Worker,"Performs routine tasks in a chemical processing plant such as delivering materials to processing areas, dumping ingredients into hoppers, operating machines to heat, cool and agitate chemical solutions, filling and fastening covers on containers, and attaching labels and information on products.",Teamwork,Initiative and innovation,Numeracy,Planning and organising,Oral communication,Industrial control and automation software,Industrial control and automation software,,Computerised Numerical Control (CNC) machining centres,Computerised Numerical Control (CNC) machining centres,,Certificate II in Process Manufacturing,,,,,No minimum education,,,,
839914,Fabric and Textile Factory Worker,"Performs routine tasks in a fabric and textile factory such as cutting canvas, upholstery and curtain fabrics, delivering materials to machines, operating automatic machines using computerised patterns, pressing partially completed and finished garments, and inspecting and finishing completed garments.",Teamwork,Initiative and innovation,Reading,Numeracy,Digital engagement,Computer aided manufacturing (CAM),,,Computer aided image manufacturing software,,,Certificate III in Textile Fabrication,,,,,Relevant employment; plus a training contract,,,,
839916,Glass Processing Worker,"Performs routine tasks in manufacturing glassware such as setting up, adjusting and repairing automatic machines and equipment, and checking weight of glassware.",Teamwork,Numeracy,Planning and organising,Initiative and innovation,Oral communication,,,,,,,Certificate II in Glass and Glazing,,,,,No minimum education,,,,
851211,Pastrycook's Assistant,"Assists a Pastrycook by performing routine tasks in the kitchen such as preparing ingredients, and cleaning and storing equipment.",Teamwork,Planning and organising,Initiative and innovation,Oral communication,Learning,,,,,,,Certificate II in Retail Baking Assistance,Certificate III in Retail Baking (Bread),,,,No minimum education,Certificate II in Retail Baking Assistance; or relevant vocational training and/or work experience,,,
851311,Kitchenhand,"Assists kitchen and service staff in preparing and serving food, and cleans food preparation and service areas.",Teamwork,Initiative and innovation,Planning and organising,Oral communication,Problem solving,Video creation and editing software,Point of sale (POS) and EFTPOS systems,,Adobe After Effects,Credit card processing machines,,Certificate II in Health Support Services,Certificate II in Kitchen Operations,Certificate II in Hospitality,Certificate I in Hospitality,Certificate II in Hospitality,No minimum education,No minimum education,No minimum education,No minimum education,No minimum education
899111,Caretaker,"Maintains and cleans a residential building, school, office, holiday camp or caravan park and associated grounds.",Initiative and innovation,Teamwork,Planning and organising,Oral communication,Problem solving,,,,,,,Certificate II in Holiday Parks and Resorts,Certificate III in Holiday Parks and Resorts,,,,No minimum education,No minimum education,,,
899211,Deck Hand,Performs maintenance and lookout tasks aboard a ship.,Teamwork,Planning and organising,Initiative and innovation,Writing,Reading,Facilities management software,,,Computerised Maintenance Management System software CMMS,,,Certificate III in Fishing Operations,Certificate II in Public Safety (Aquatic Rescue),,,,No minimum education,No minimum education,,,
899311,Handyperson,"Cleans, paints, repairs and maintains buildings, grounds and facilities.",Initiative and innovation,Teamwork,Planning and organising,Oral communication,Writing,,,,,,,Certificate II in Health Support Services,Certificate III in Health Support Services,,,,No minimum education,No minimum education,,,
899412,Autoglazier,Repairs and replaces windscreens and side and rear glass in motor vehicles.,Initiative and innovation,Teamwork,Planning and organising,Oral communication,Problem solving,,,,,,,Certificate III in Automotive Glazing Technology,,,,,No minimum education,,,,
899415,Tyre Fitter,"Fits, repairs and replaces tyres on motor vehicles.",Initiative and innovation,Planning and organising,Teamwork,Learning,Problem solving,,,,,,,Certificate II in Automotive Tyre Servicing Technology,,,,,No minimum education,,,,
899511,Printer's Assistant,Performs routine tasks in the production of printed materials.,Initiative and innovation,Reading,Planning and organising,Oral communication,Learning,Document management and code versioning software,File storage technologies,Graphics or photo imaging software,Git,Cloud storage solutions,Adobe Photoshop,Certificate II in Printing and Graphic Arts (General),Certificate II in Printing and Graphic Arts (Screen Printing),,,,No minimum education,No minimum education,,,
899611,Recycling or Rubbish Collector,"Collects household, commercial and industrial waste for recycling or disposal.",Initiative and innovation,Planning and organising,Teamwork,Writing,Reading,Facilities management software,GPS and navigation technologies,,Computerised Maintenance Management System software CMMS,Global Positioning System GPS devices,,Certificate III in Waste Management,Certificate IV in Waste Management,,,,No minimum education,Certificate III in Waste Management or equivalent,,,
899911,Bicycle Mechanic,"Repairs and adjusts bicycles, and assembles bicycle kits.",Teamwork,Planning and organising,Initiative and innovation,Oral communication,Problem solving,Social media platforms,,,Facebook,,,Certificate III in Bicycle Workshop Operations,,,,,No minimum education,,,,
899914,Electrical or Telecommunications Trades Assistant,Assists Electrotechnology and Telecommunications Trades Workers to install and maintain electrical and telecommunications systems.,Initiative and innovation,Teamwork,Planning and organising,Oral communication,Reading,,,,,,,Certificate II in Technical Security,Certificate III in Technical Security,Certificate II in Split Air-conditioning and Heat Pump Systems,Certificate II in Integrated Technologies,Certificate II in Sustainable Energy (Career Start),No minimum education,No minimum education,Entry requirements may vary among providers. Prerequisite units may apply.,No minimum education,No minimum education
